index,brand,name,disc_price,act_price,imag_url
43,zeno,zenophily womens banarasi jacquard soft lichi silk saree blouse piece,599.0,1999.0,https://m.media-amazon.com/images/I/71figcd825S._AC_UL320_.jpg
44,haider ali and sons,womens pure linen saree blouse piece,639.0,1999.0,https://m.media-amazon.com/images/I/6153cIhoyUL._AC_UL320_.jpg
45,gosriki,womens jute silk saree blouse piece,499.0,2997.0,https://m.media-amazon.com/images/I/61dbP1wFneL._AC_UL320_.jpg
46,yashika,women georgette saree sdpl mirror,549.0,2247.0,https://m.media-amazon.com/images/I/710UYeqiESL._AC_UL320_.jpg
47,womanista,womens georgette saree blouse,619.0,1999.0,https://m.media-amazon.com/images/I/81XKaSKvlyL._AC_UL320_.jpg
48,anand sarees,womens chiffon saree blouse piece,459.0,2399.0,https://m.media-amazon.com/images/I/81JE98ug38L._AC_UL320_.jpg
49,sourbh,womens cotton blend saree unstiched blouse piece,449.0,1999.0,https://m.media-amazon.com/images/I/81Lwz9gb6JL._AC_UL320_.jpg
50,perfectblue,womens cotton silk saree blouse piece new,329.0,3999.0,https://m.media-amazon.com/images/I/818waCM6fIL._AC_UL320_.jpg
51,rani saahiba,womens chiffon zari woven saree blouse piece,799.0,1999.0,https://m.media-amazon.com/images/I/91RLBThNNhL._AC_UL320_.jpg
52,ishin,georgette blouse piece saree,1299.0,3299.0,https://m.media-amazon.com/images/I/917c4qQLVJL._AC_UL320_.jpg
53,rani saahiba,womens plain weave cotton saree without blouse piece,484.0,1999.0,https://m.media-amazon.com/images/I/919lFRIWVhL._AC_UL320_.jpg
54,gosriki,women saree,275.0,1999.0,https://m.media-amazon.com/images/I/81n+rnzF0RS._AC_UL320_.jpg
55,glory sarees,womens banarasi silk saree blouse piece,900.0,4500.0,https://m.media-amazon.com/images/I/91yo+G2rJ1L._AC_UL320_.jpg
56,jaytara sarees,jaytra sarees banarasi silk saree,999.0,3999.0,https://m.media-amazon.com/images/I/91CEuhm+ntL._AC_UL320_.jpg
57,lado,ladoo creation tapeta velvet designer saree women,999.0,1999.0,https://m.media-amazon.com/images/I/71w3yit5wXL._AC_UL320_.jpg
58,jaam silk fashion,womens kanjivaram cotton silk blend saree blouse piece,749.0,5899.0,https://m.media-amazon.com/images/I/91kYiZt2vxL._AC_UL320_.jpg
59,pujia mills,women kanjivaram pure banarasi silk saree kanchipuram saree,1999.0,5999.0,https://m.media-amazon.com/images/I/71Rsk-3QW0L._AC_UL320_.jpg
60,pujia mills,women kanjivaram pure banarasi silk saree kanchipuram saree,2299.0,5999.0,https://m.media-amazon.com/images/I/91CLBBWOymS._AC_UL320_.jpg
61,rajsundari,womens jacquard cotton blend saree without blouse piece,899.0,2299.0,https://m.media-amazon.com/images/I/91i-CSjetdL._AC_UL320_.jpg
62,varni fabrics,summer special multicolor printed chanderi linen saree blouse,999.0,2599.0,https://m.media-amazon.com/images/I/51lN-Ge+DUL._AC_UL320_.jpg
63,jaanvi fashion,womens plain weave pure georgette saree blouse piece,699.0,2000.0,https://m.media-amazon.com/images/I/71AlQjtM-tL._AC_UL320_.jpg
64,navya diseno,womens georgette printed silk saree jacquard lace border work saree women fancy georgette saree offer designer rupee silk latest silk blouse beautiful women causal ceremony wedding collection free size blouse piece,1196.0,3599.0,https://m.media-amazon.com/images/I/71MgqgpCTlL._AC_UL320_.jpg
65,sourbh,womens cotton blend triangle shibori pattern printed saree blouse piece,449.0,1999.0,https://m.media-amazon.com/images/I/81vYNImJ+QL._AC_UL320_.jpg
66,trilok fab,womens embroidered silk saree blouse piece,795.0,3999.0,https://m.media-amazon.com/images/I/91+HYVbu8ZL._AC_UL320_.jpg
67,satrani,womens georgette saree blouse piece,439.0,1668.0,https://m.media-amazon.com/images/I/71TlcFDkIAL._AC_UL320_.jpg
68,om sai latest creation,soft cotton silk saree women banarasi saree beautiful women saree,275.0,1999.0,https://m.media-amazon.com/images/I/71fYPsWkTtL._AC_UL320_.jpg
69,ishin,womens poly georgette printed saree blouse piece,349.0,1599.0,https://m.media-amazon.com/images/I/61RppNwpX9L._AC_UL320_.jpg
70,perfectblue,womens digital linen blend saree unstitched blouse piece,409.0,1999.0,https://m.media-amazon.com/images/I/81Pxmepi-mL._AC_UL320_.jpg
71,anand sarees,womens georgette saree blouse piece,532.0,2598.0,https://m.media-amazon.com/images/I/81l6hG+OwfL._AC_UL320_.jpg
72,dwiju,womens hand block jaipuri printed pure cotton mulmul traditional ethnic saree,499.0,2499.0,https://m.media-amazon.com/images/I/81d2aSnMtvL._AC_UL320_.jpg
73,womanista,womens crepe saree blouse,789.0,2699.0,https://m.media-amazon.com/images/I/81u7FYrQPpL._AC_UL320_.jpg
74,womanista,womens printed faux georgette saree blouse piece,459.0,1599.0,https://m.media-amazon.com/images/I/71CPfiKpWmL._AC_UL320_.jpg
